SARS2_A549	SARS2_A549_ACE2	SARS2_Calu3
		GO:0042221
		GO:0009968
		GO:0007167
		GO:0010646
		GO:0051094
		GO:0023051
		GO:0048583
		GO:0007165
		GO:0010648
		GO:0023057
		GO:0006950
		GO:0030334
		GO:0007267
		GO:0023052
		GO:0048585
		GO:0007154
		GO:0051050
		GO:2000145
		GO:0006464
		GO:0036211
		GO:0051241
		GO:0006355
		GO:1903506
		GO:2001141
		GO:0051130
		GO:0060341
		GO:0006796
		GO:0006974
		GO:0030163
		GO:0040012
		GO:0010629
		GO:0051252
		GO:0006793
		GO:0043412
		GO:0051270
		GO:0019538
		GO:0050793
		GO:0051049
		GO:2000112
		GO:0032269
		GO:0010556
		GO:0048513
		GO:0019219
		GO:0009888
		GO:0048522
		GO:0051716
		GO:0051171
		GO:0044267
		GO:0031326
		GO:0048518
		GO:0009889
		GO:0080090
		GO:0006357
		GO:0010468
		GO:0060255
		GO:0031323
		GO:0010605
		GO:0048523
		GO:0051172
		GO:0019222
		GO:0009892
		GO:0048519
		GO:0031324
		GO:1901564
		GO:0050896
		GO:0032879
		GO:0044260
		GO:0048731
		GO:0051128
		GO:0048869
		GO:0030154
		GO:0043170
		GO:0048856
		GO:0007275
		GO:0006807
		GO:0032502
		GO:0050794
		GO:0044238
		GO:0050789
		GO:0071704
		GO:0032501
		GO:0008152
		GO:0065007
		GO:0044237
		GO:0009987
